Started Date,Completed Date,,name,Des,expense,co,value
2023-05-02 11:45:50,2023-05-03 13:28:43,,Coffee,Rca (baxterstorey),-6.35,0.72,6.35
2023-05-10 11:39:35,2023-05-11 14:18:27,,Coffee,Rca (baxterstorey),-4.30,0.49,4.30
2023-05-11 08:52:17,2023-05-12 13:21:29,,Coffee,Rca (baxterstorey),-5.20,0.59,5.20
2023-05-11 10:25:32,2023-05-12 13:21:30,,Coffee,Rca (baxterstorey),-2.70,0.31,2.70
2023-05-18 12:43:08,2023-05-19 13:59:48,,Coffee,Rca (baxterstorey),-2.70,0.31,2.70
2023-05-22 12:43:48,2023-05-23 13:29:50,,Coffee,Rca (baxterstorey),-4.85,0.55,4.85
2023-05-02 10:11:37,2023-05-03 13:16:15,,Coffee,Fusion 54,-3.60,0.41,3.60
2023-05-04 13:04:35,2023-05-05 15:23:37,,Coffee,Fusion 54,-2.60,0.29,2.60
2023-05-05 10:09:31,2023-05-06 12:11:00,,Coffee,Fusion 54,-2.60,0.29,2.60
2023-05-05 08:08:36,2023-05-06 15:24:18,,Coffee,Gails - South Kensingt,-6.80,0.77,6.80
2023-05-09 10:54:20,2023-05-10 13:55:10,,Coffee,Fusion 54,-4.20,0.48,4.20
2023-05-10 09:19:11,2023-05-11 15:23:55,,Coffee,Fusion 54,-2.60,0.29,2.60
2023-05-12 09:49:43,2023-05-13 14:59:38,,Coffee,Parker Cafe,-3.24,0.37,3.24
2023-05-22 08:54:24,2023-05-23 13:12:23,,Coffee,Fusion 54,-2.60,0.29,2.60
2023-05-23 11:28:31,2023-05-24 14:34:49,,Coffee,Fusion 54,-2.60,0.29,2.60
2023-05-02 15:45:41,2023-05-03 13:52:20,,Food,Co-Op Group Food Retai,-13.55,12.60,13.55
2023-05-06 20:45:40,2023-05-07 13:37:30,,Food,Marks & Spencer Saca,-8.76,8.15,8.76
2023-05-06 20:34:10,2023-05-07 13:40:10,,Food,Co-Op Group Food Retai,-30.57,28.43,30.57
2023-05-07 19:08:10,2023-05-08 14:22:07,,Food,Co-Op Group Food Retai,-15.85,14.74,15.85
2023-05-08 18:22:58,2023-05-09 13:36:18,,Food,The Rose Supermarket,-11.48,10.68,11.48
2023-05-08 11:08:34,2023-05-09 14:33:35,,Food,Sainsburys,-12.85,11.95,12.85
2023-05-08 18:30:24,2023-05-09 14:33:39,,Food,Sainsburys,-6.55,6.09,6.55
2023-05-11 20:49:19,2023-05-12 12:51:53,,Food,The Rose Supermarket,-9.42,8.76,9.42
2023-05-12 08:37:32,2023-05-13 15:26:11,,Food,Co-Op Group Food,-2.86,2.66,2.86
2023-05-13 08:07:25,2023-05-14 14:06:21,,Food,Co-Op Group Food,-10.95,10.18,10.95
2023-05-14 12:22:12,2023-05-15 14:27:28,,Food,The Rose Supermarket,-7.28,6.77,7.28
2023-05-14 12:43:18,2023-05-15 14:40:05,,Food,Marks & Spencer Saca,-20.75,19.30,20.75
2023-05-14 12:54:35,2023-05-15 14:57:00,,Food,Co-Op Group Food Retai,-11.98,11.14,11.98
2023-05-14 12:24:57,2023-05-15 14:59:02,,Food,Sainsburys,-1.20,1.12,1.20
2023-05-14 14:05:52,2023-05-15 14:59:02,,Food,Sainsburys,-4.20,3.91,4.20
2023-05-16 18:54:43,2023-05-17 15:11:47,,Food,Co-Op Group Food Retai,-9.50,8.84,9.50
2023-05-17 09:19:48,2023-05-18 14:50:41,,Food,Co-Op Group Food,-2.00,1.86,2.00
2023-05-18 21:40:04,2023-05-19 14:17:10,,Food,Co-Op Group Food Retai,-4.40,4.09,4.40
2023-05-19 12:46:19,2023-05-20 14:57:35,,Food,Co-Op Group Food,-4.45,4.14,4.45
2023-05-19 17:05:42,2023-05-20 14:57:35,,Food,Co-Op Group Food,-11.00,10.23,11.00
2023-05-20 14:27:29,2023-05-21 13:37:20,,Food,Co-Op Group Food,-9.85,9.16,9.85
2023-05-20 16:07:24,2023-05-21 13:37:24,,Food,Co-Op Group Food,-5.28,4.91,5.28
2023-05-21 14:15:35,2023-05-22 14:20:25,,Food,The Rose Supermarket,-8.97,8.34,8.97
2023-05-21 14:40:20,2023-05-22 14:37:53,,Food,Co-Op Group Food Retai,-24.41,22.70,24.41
2023-05-22 19:26:29,2023-05-23 13:50:16,,Food,Co-Op Group Food,-7.00,6.51,7.00
2023-05-23 18:27:25,2023-05-24 13:08:56,,Food,Co-Op Group Food,-3.50,3.26,3.50
2023-05-30 21:39:39,2023-05-31 16:23:40,,Food,Sainsburys,-2.25,2.09,2.25
2023-05-30 18:58:14,2023-05-31 16:23:44,,Food,Co-Op Group Food,-3.10,2.88,3.10
2023-05-08 22:24:25,2023-05-08 22:24:27,,Home,To Sarah M Lister,-560.00,672.00,560.00
